price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
3900,kleinwagen,2002,manuell,75,polo,100000,4,benzin,volkswagen,0
999,andere,1999,,0,kangoo,150000,3,,renault,
21999,limousine,2011,automatik,170,passat,90000,2,diesel,volkswagen,0
600,kombi,2003,manuell,42,kangoo,125000,8,diesel,renault,1
2299,andere,1995,manuell,122,sprinter,150000,4,diesel,mercedes_benz,0
8000,kombi,2010,manuell,130,mondeo,150000,1,diesel,ford,0
3999,limousine,2005,manuell,105,astra,150000,6,benzin,opel,0
12300,cabrio,2004,automatik,171,slk,100000,11,benzin,mercedes_benz,0
7890,kleinwagen,2012,manuell,94,swift,40000,11,benzin,suzuki,0
2990,kombi,2001,manuell,116,mondeo,150000,6,diesel,ford,0
1150,bus,2000,manuell,75,agila,150000,1,benzin,opel,0
21000,limousine,2013,manuell,122,a3,20000,9,benzin,audi,0
150,,2017,,0,twingo,150000,0,,renault,
2500,kleinwagen,2003,manuell,58,corsa,150000,4,benzin,opel,0
300,kleinwagen,1992,,75,polo,150000,0,,volkswagen,
190,,1000,,0,mondeo,5000,0,,ford,
1150,kleinwagen,1992,manuell,60,golf,150000,8,benzin,volkswagen,
11500,kombi,2009,manuell,129,avensis,125000,7,benzin,toyota,0
17500,kombi,2008,manuell,136,andere,125000,3,diesel,volkswagen,0
8000,limousine,2009,manuell,102,jetta,90000,7,benzin,volkswagen,0
4300,kleinwagen,2000,manuell,204,golf,150000,1,benzin,volkswagen,0
22500,limousine,2012,automatik,177,a4,125000,5,diesel,audi,0
4500,limousine,2006,manuell,105,leon,150000,9,benzin,seat,0
4990,kleinwagen,1994,manuell,145,corsa,125000,5,benzin,opel,0
4400,kleinwagen,2008,manuell,92,swift,80000,4,benzin,suzuki,0
2350,cabrio,1996,manuell,90,golf,150000,1,benzin,volkswagen,0
6499,kombi,2005,automatik,224,a6,150000,11,diesel,audi,0
1950,kombi,2004,manuell,0,astra,150000,8,diesel,opel,0
20000,limousine,2014,manuell,122,a1,30000,1,benzin,audi,0
7990,kombi,2010,automatik,170,passat,150000,10,diesel,volkswagen,0
7999,limousine,2004,manuell,224,impreza,150000,3,benzin,subaru,0
9500,kombi,2008,manuell,140,a3,150000,4,diesel,audi,0
3600,bus,2006,manuell,105,zafira,150000,4,benzin,opel,0
2599,kombi,2004,manuell,130,,150000,4,,sonstige_autos,0
0,,1995,manuell,0,3_reihe,150000,0,benzin,peugeot,
6499,kombi,2008,manuell,109,caddy,125000,6,cng,volkswagen,0
3500,limousine,2003,manuell,101,golf,150000,11,diesel,volkswagen,0
14000,cabrio,2005,automatik,163,slk,40000,4,benzin,mercedes_benz,0
11750,coupe,1969,manuell,0,,100000,7,benzin,sonstige_autos,0
699,,2016,,0,polo,150000,11,benzin,volkswagen,
12590,kombi,2010,manuell,143,3er,80000,3,diesel,bmw,0
16500,cabrio,2010,manuell,105,a3,70000,8,benzin,audi,0
6800,suv,2005,manuell,111,freelander,150000,5,diesel,land_rover,0
2450,cabrio,1999,manuell,130,andere,150000,11,,saab,0
1400,bus,2004,automatik,0,andere,150000,7,diesel,kia,
1000000,kombi,1998,,0,mondeo,150000,0,benzin,ford,1
15900,suv,2009,manuell,173,cx_reihe,125000,10,diesel,mazda,0
6280,limousine,2006,manuell,0,c_klasse,150000,6,benzin,mercedes_benz,0
9200,limousine,2009,automatik,140,golf,150000,7,diesel,volkswagen,
21450,bus,2012,automatik,136,b_klasse,60000,5,diesel,mercedes_benz,0
1600,bus,1994,manuell,84,transporter,150000,6,benzin,volkswagen,0
7400,kleinwagen,2009,manuell,90,one,70000,7,benzin,mini,0
14950,suv,2010,manuell,177,rav,50000,10,diesel,toyota,0
2000,kombi,1998,manuell,125,passat,150000,3,benzin,volkswagen,0
4999,limousine,2000,automatik,170,3er,150000,8,benzin,bmw,0
6000,limousine,2005,automatik,195,e_klasse,150000,8,diesel,mercedes_benz,0
5900,cabrio,1996,manuell,174,golf,100000,7,benzin,volkswagen,
1150,kombi,1999,manuell,101,passat,150000,11,benzin,volkswagen,0
7450,,2018,automatik,124,auris,125000,4,benzin,toyota,
1999,kleinwagen,2001,manuell,125,a_klasse,90000,12,benzin,mercedes_benz,0
7745,bus,2007,manuell,140,touran,90000,4,benzin,volkswagen,0
27900,cabrio,2013,,184,slk,30000,5,benzin,mercedes_benz,0
3290,limousine,2008,manuell,85,focus,150000,5,diesel,ford,0
799,limousine,1998,manuell,136,c_klasse,150000,2,benzin,mercedes_benz,0
2350,kleinwagen,2005,manuell,54,panda,150000,6,benzin,fiat,0
2100,limousine,2002,,107,sirion,125000,0,benzin,daihatsu,0
1649,limousine,1997,manuell,102,3er,150000,3,benzin,bmw,0
850,kleinwagen,1999,manuell,54,corsa,150000,3,benzin,opel,0
300,kleinwagen,1998,manuell,72,a_klasse,150000,5,,mercedes_benz,
3300,kleinwagen,2004,manuell,0,polo,125000,12,diesel,volkswagen,0
11350,limousine,2012,manuell,125,leon,60000,7,benzin,seat,0
2950,cabrio,2001,manuell,136,2_reihe,150000,6,benzin,peugeot,0
3500,kleinwagen,1990,manuell,58,andere,70000,2,benzin,renault,0
10250,limousine,2006,automatik,163,1er,150000,11,diesel,bmw,0
2150,bus,1982,manuell,75,transit,90000,0,benzin,ford,
230,kleinwagen,1996,manuell,60,corsa,150000,9,benzin,opel,
2999,kleinwagen,2002,manuell,101,ibiza,125000,8,benzin,seat,0
550,,2016,manuell,102,golf,150000,7,,volkswagen,0
499,kleinwagen,1998,manuell,73,,125000,12,benzin,mazda,0
2100,kleinwagen,2001,manuell,75,fabia,150000,10,benzin,skoda,0
0,andere,2016,,0,andere,5000,0,diesel,renault,1
800,kombi,1999,manuell,116,focus,150000,9,benzin,ford,0
6250,cabrio,1998,manuell,150,3er,100000,1,benzin,bmw,0
11900,bus,2010,manuell,150,andere,90000,9,benzin,ford,0
23200,kombi,2012,automatik,184,5er,90000,3,diesel,bmw,0
5800,bus,1992,manuell,80,transporter,150000,10,,volkswagen,0
3000,kombi,2002,automatik,220,a6,125000,2,benzin,audi,1
1790,kleinwagen,2001,automatik,75,corsa,125000,3,benzin,opel,0
1895,limousine,1999,manuell,75,focus,80000,11,benzin,ford,0
2999,,2017,manuell,69,forfour,150000,3,diesel,smart,
1550,kleinwagen,1999,manuell,65,corsa,150000,8,benzin,opel,0
3400,kleinwagen,2006,manuell,60,fiesta,90000,6,benzin,ford,0
17900,suv,2008,automatik,239,touareg,150000,7,diesel,volkswagen,0
2250,kleinwagen,2005,manuell,100,lupo,150000,0,diesel,volkswagen,
1100,kleinwagen,2001,manuell,60,corsa,150000,3,benzin,opel,0
8900,limousine,2009,manuell,110,golf,150000,10,diesel,volkswagen,0
16750,limousine,2007,automatik,232,phaeton,70000,11,diesel,volkswagen,0
990,kombi,2003,manuell,97,rio,125000,7,benzin,kia,0
21999,coupe,2014,automatik,160,scirocco,30000,2,benzin,volkswagen,0
4750,kleinwagen,2008,manuell,125,swift,125000,4,benzin,suzuki,0
5200,kombi,2007,manuell,150,c_klasse,150000,2,diesel,mercedes_benz,0
1250,,2018,manuell,125,passat,150000,0,,volkswagen,0
2899,limousine,2002,manuell,147,vectra,150000,11,benzin,opel,0
2700,kleinwagen,2004,manuell,0,punto,20000,5,benzin,fiat,0
11600,coupe,2008,manuell,160,scirocco,80000,12,benzin,volkswagen,0
650,kleinwagen,1997,,54,twingo,150000,7,benzin,renault,
900,kleinwagen,2002,manuell,75,twingo,150000,9,benzin,renault,0
3399,limousine,1999,manuell,105,3er,150000,12,lpg,bmw,0
1800,limousine,2000,automatik,130,3er,150000,7,diesel,bmw,0
3200,kombi,2008,manuell,110,astra,150000,0,diesel,opel,
1500,kleinwagen,2004,,0,twingo,125000,8,benzin,renault,0
2500,limousine,1999,automatik,101,astra,125000,1,benzin,opel,0
900,bus,1995,manuell,75,transporter,150000,8,diesel,volkswagen,1
10500,kombi,2008,manuell,143,3er,150000,11,diesel,bmw,0
1425,limousine,1996,manuell,90,megane,125000,4,benzin,renault,0
3800,kleinwagen,2009,manuell,0,polo,150000,3,diesel,volkswagen,1
6900,,2008,manuell,158,ducato,150000,3,diesel,fiat,
2000,kleinwagen,2009,manuell,54,panda,150000,11,,fiat,0
140,bus,1999,manuell,119,megane,150000,8,,renault,
0,kleinwagen,1995,manuell,75,golf,150000,0,benzin,volkswagen,
870,kleinwagen,1995,manuell,58,twingo,150000,4,benzin,renault,
1600,cabrio,2001,manuell,136,2_reihe,150000,7,benzin,peugeot,1
1500,,2000,,0,3er,5000,0,,bmw,
13000,bus,2010,manuell,105,touran,100000,12,diesel,volkswagen,1
2400,kleinwagen,2003,automatik,41,fortwo,90000,1,diesel,smart,0
5050,kleinwagen,2009,manuell,0,clio,150000,10,benzin,renault,
2800,cabrio,2000,automatik,170,3er,150000,6,,bmw,1
1100,,2016,manuell,75,astra,125000,9,benzin,opel,
2700,,2017,automatik,0,fortwo,60000,4,benzin,smart,
18890,limousine,2011,manuell,211,golf,60000,1,benzin,volkswagen,0
11500,suv,2009,manuell,260,cx_reihe,80000,6,benzin,mazda,0
19000,suv,2012,automatik,204,m_klasse,40000,10,diesel,mercedes_benz,1
4895,limousine,2006,manuell,116,1er,150000,9,benzin,bmw,0
2400,kleinwagen,2004,manuell,0,punto,150000,11,benzin,fiat,
1000,limousine,1995,manuell,88,3_reihe,50000,4,benzin,peugeot,0
6800,limousine,2005,manuell,140,a4,150000,2,diesel,audi,0
9900,kombi,2008,automatik,140,a4,150000,1,diesel,audi,0
3200,limousine,1999,manuell,150,3er,150000,12,benzin,bmw,0
8490,suv,2005,automatik,224,touareg,150000,12,diesel,volkswagen,0
5650,kombi,2005,automatik,272,5er,150000,2,diesel,bmw,1
4699,kombi,2007,manuell,70,caddy,150000,8,diesel,volkswagen,0
2699,kleinwagen,2003,automatik,41,fortwo,150000,5,diesel,smart,0
10500,bus,2011,manuell,109,b_klasse,100000,6,diesel,mercedes_benz,0
5500,limousine,2005,manuell,105,passat,150000,12,diesel,volkswagen,1
3650,bus,1997,manuell,75,transporter,150000,4,diesel,volkswagen,
3600,kombi,2005,automatik,155,signum,150000,10,benzin,opel,0
4990,coupe,1991,manuell,200,andere,50000,4,benzin,volkswagen,0
999,,2000,automatik,101,a_klasse,150000,0,benzin,mercedes_benz,
1850,limousine,2001,manuell,105,3er,150000,4,benzin,bmw,0
1190,kleinwagen,2005,manuell,73,c2,150000,5,benzin,citroen,0
2400,,1990,manuell,129,golf,150000,0,,volkswagen,
4600,bus,2004,manuell,129,verso,150000,9,benzin,toyota,0
550,kombi,1998,manuell,90,berlingo,150000,9,benzin,citroen,1
2850,,2016,manuell,90,beetle,5000,6,diesel,volkswagen,0
3800,kombi,2001,manuell,110,mondeo,125000,8,benzin,ford,0
3550,bus,2006,manuell,150,zafira,150000,5,diesel,opel,0
750,coupe,1967,,0,,125000,1,benzin,sonstige_autos,1
1700,limousine,1999,manuell,131,primera,150000,10,benzin,nissan,0
8499,kleinwagen,2005,manuell,200,golf,150000,0,benzin,volkswagen,
1100,kleinwagen,1999,manuell,55,lupo,125000,0,benzin,volkswagen,
9200,kombi,2006,automatik,224,e_klasse,150000,8,diesel,mercedes_benz,0
700,limousine,2001,manuell,98,c5,150000,10,diesel,citroen,1
3800,kombi,2002,automatik,220,a6,150000,6,benzin,audi,0
1990,,2016,manuell,0,passat,150000,6,,volkswagen,
1700,limousine,2004,manuell,116,focus,150000,6,diesel,ford,0
6399,kleinwagen,2006,manuell,95,a_klasse,50000,4,benzin,mercedes_benz,0
750,kleinwagen,1998,manuell,75,fiesta,150000,6,benzin,ford,0
1599,limousine,1998,manuell,75,golf,150000,5,benzin,volkswagen,0
2990,limousine,2008,manuell,68,fiesta,150000,5,,ford,0
1800,kombi,2001,manuell,101,vectra,150000,9,diesel,opel,0
23200,cabrio,2001,manuell,320,911,150000,7,benzin,porsche,0
26200,bus,2015,manuell,140,touran,5000,4,benzin,volkswagen,0
2900,limousine,1996,automatik,204,andere,150000,1,benzin,volvo,0
2600,limousine,2003,manuell,98,3_reihe,125000,3,benzin,mazda,0
3650,limousine,2003,manuell,116,almera,125000,3,benzin,nissan,0
1000,kleinwagen,2002,manuell,60,punto,125000,9,benzin,fiat,
250,kleinwagen,1999,manuell,75,focus,150000,9,benzin,ford,1
2450,kombi,2000,automatik,225,e_klasse,150000,11,benzin,mercedes_benz,0
990,kombi,1999,manuell,107,scenic,150000,4,benzin,renault,0
9999,kombi,2006,automatik,232,a6,150000,12,diesel,audi,0
13900,kombi,2009,automatik,143,a4,150000,10,diesel,audi,0
690,kleinwagen,1998,,0,fusion,150000,0,,ford,0
5400,,2017,automatik,140,sorento,150000,0,,kia,
5000,bus,2007,manuell,110,scenic,125000,8,benzin,renault,0
350,limousine,1996,manuell,88,3_reihe,150000,1,benzin,mazda,0
1550,,2016,manuell,0,zafira,150000,10,diesel,opel,
3950,kleinwagen,2009,manuell,60,corsa,125000,2,benzin,opel,0
32000,coupe,1967,,300,,30000,6,,sonstige_autos,0
2200,kombi,2001,automatik,163,5er,150000,9,diesel,bmw,0
2900,kleinwagen,2002,manuell,75,lupo,150000,7,benzin,volkswagen,0
2500,kleinwagen,2006,automatik,5,,40000,1,diesel,sonstige_autos,1
950,limousine,2000,manuell,150,andere,150000,4,benzin,saab,1
6500,kleinwagen,2011,manuell,87,corsa,50000,3,benzin,opel,0
350,kleinwagen,2000,manuell,54,,150000,0,benzin,daihatsu,0
1250,kombi,1999,automatik,125,c_klasse,150000,12,diesel,mercedes_benz,
1899,andere,1995,manuell,84,transporter,150000,5,,volkswagen,0
1500,cabrio,2001,manuell,0,2_reihe,150000,11,benzin,peugeot,
3450,limousine,2009,manuell,0,,150000,5,benzin,volkswagen,0
6900,bus,2009,manuell,160,ducato,150000,11,diesel,fiat,
4500,andere,2006,automatik,5,,40000,7,elektro,sonstige_autos,0
3600,cabrio,2006,manuell,109,andere,150000,6,diesel,peugeot,0
9700,kleinwagen,2010,manuell,156,andere,70000,5,benzin,citroen,0
1390,kleinwagen,1998,manuell,75,golf,150000,2,benzin,volkswagen,0
9980,bus,2011,manuell,105,touran,100000,8,benzin,volkswagen,0
3300,limousine,2003,,0,5er,150000,9,diesel,bmw,
3500,,2017,manuell,68,,150000,0,,volkswagen,
999,kleinwagen,2000,manuell,58,twingo,150000,7,benzin,renault,0
1500,kombi,1994,manuell,128,legacy,150000,5,benzin,subaru,0
5200,kombi,2008,manuell,109,focus,150000,9,diesel,ford,0
4300,bus,2002,manuell,88,transporter,150000,8,diesel,volkswagen,0
2200,limousine,1992,manuell,122,andere,10000,10,benzin,mercedes_benz,0
25250,bus,2008,manuell,174,transporter,150000,5,diesel,volkswagen,0
600,,2017,manuell,75,golf,150000,10,benzin,volkswagen,0
700,,2017,manuell,75,astra,150000,3,,opel,
1,,2016,,100,,150000,1,benzin,sonstige_autos,0
799,,2005,manuell,0,clio,150000,0,,renault,
2499,limousine,1996,manuell,200,a4,150000,2,benzin,audi,0
2550,kombi,2003,,0,sharan,150000,6,diesel,volkswagen,
6500,kombi,2004,automatik,163,e_klasse,150000,4,benzin,mercedes_benz,0
3990,kombi,2002,automatik,101,bora,150000,5,diesel,volkswagen,0
999,kombi,2001,manuell,0,astra,5000,5,,opel,0
32000,limousine,2008,automatik,183,e_klasse,70000,9,benzin,mercedes_benz,0
700,kleinwagen,2006,manuell,69,ka,80000,6,benzin,ford,0
1650,limousine,2003,manuell,80,fiesta,150000,3,benzin,ford,0
13000,limousine,2011,manuell,177,a6,80000,9,diesel,audi,0
12290,limousine,2006,manuell,200,golf,125000,4,benzin,volkswagen,0
1200,kombi,1999,manuell,105,v40,150000,8,benzin,volvo,0
4250,kombi,2008,manuell,90,focus,150000,10,diesel,ford,0
4350,kleinwagen,2007,manuell,80,ibiza,125000,7,diesel,seat,0
800,,2000,manuell,60,,150000,6,,volkswagen,0
2999,limousine,1999,manuell,103,andere,125000,9,benzin,fiat,0
12990,kombi,2007,,197,3er,150000,3,diesel,bmw,
200,kleinwagen,2000,manuell,50,fiesta,150000,9,,ford,
2750,kleinwagen,2003,manuell,60,lupo,20000,11,benzin,volkswagen,0
1200,kleinwagen,1995,manuell,40,andere,80000,0,benzin,fiat,
12500,suv,2003,manuell,340,cayenne,150000,3,benzin,porsche,0
3900,kombi,2003,manuell,231,3er,150000,2,benzin,bmw,
9999,cabrio,2005,manuell,116,cooper,50000,6,benzin,mini,0
4200,limousine,2006,manuell,150,golf,150000,9,benzin,volkswagen,
4499,kleinwagen,2012,manuell,75,fabia,150000,4,diesel,skoda,0
1500,cabrio,2002,automatik,54,fortwo,125000,7,,smart,0
8750,limousine,2007,manuell,140,a4,150000,8,diesel,audi,0
790,limousine,2000,manuell,95,mondeo,150000,2,benzin,ford,0
14950,coupe,2005,automatik,272,s_klasse,100000,6,benzin,mercedes_benz,0
2800,limousine,2001,manuell,105,3er,150000,9,benzin,bmw,0
2499,kombi,1998,manuell,170,e_klasse,150000,11,benzin,mercedes_benz,
749,limousine,2000,manuell,101,vectra,150000,5,benzin,opel,1
1190,bus,2001,manuell,107,scenic,150000,3,benzin,renault,0
10800,bus,2003,manuell,102,transporter,150000,3,diesel,volkswagen,0
11899,,2017,manuell,160,insignia,100000,12,diesel,opel,0
2500,limousine,1998,automatik,101,golf,125000,8,benzin,volkswagen,0
300,limousine,1999,manuell,170,mondeo,150000,1,benzin,ford,0
2350,,2017,,150,147,150000,0,benzin,alfa_romeo,0
2350,kombi,2002,manuell,131,mondeo,150000,2,diesel,ford,
3300,kombi,2006,,0,a3,150000,11,diesel,audi,0
4500,limousine,2003,automatik,143,3er,125000,1,benzin,bmw,0
18950,cabrio,1974,automatik,200,andere,80000,4,benzin,chevrolet,
1250,limousine,1994,manuell,0,civic,150000,7,benzin,honda,
350,,2000,,0,twingo,150000,0,,renault,
8450,limousine,2009,manuell,82,a_klasse,90000,3,diesel,mercedes_benz,0
3399,limousine,2008,manuell,140,astra,150000,7,benzin,opel,1
2490,cabrio,2002,manuell,50,lupo,125000,7,benzin,volkswagen,0
370,kleinwagen,1999,manuell,75,focus,150000,12,benzin,ford,0
1150,limousine,2004,manuell,131,mondeo,150000,3,diesel,ford,0
7999,,2017,manuell,69,yaris,30000,5,,toyota,0
2550,limousine,1989,manuell,113,80,150000,11,benzin,audi,0
10499,bus,2009,manuell,140,touran,125000,11,benzin,volkswagen,0
1200,kombi,2001,manuell,101,focus,150000,4,benzin,ford,0
5600,kleinwagen,2012,manuell,69,panda,30000,5,benzin,fiat,0
3800,bus,2007,manuell,120,zafira,150000,5,diesel,opel,0
4990,kleinwagen,2009,manuell,69,500,125000,2,benzin,fiat,0
11800,limousine,2007,automatik,183,e_klasse,125000,4,benzin,mercedes_benz,0
1400,limousine,1998,manuell,101,polo,150000,3,benzin,volkswagen,
1100,limousine,1996,manuell,102,3er,150000,4,benzin,bmw,0
5500,kleinwagen,2008,manuell,80,polo,125000,12,diesel,volkswagen,0
2900,bus,2002,manuell,91,andere,125000,11,diesel,mercedes_benz,0
1399,limousine,2003,automatik,197,andere,150000,4,benzin,hyundai,0
950,kombi,2002,manuell,105,3_reihe,150000,11,benzin,mazda,0
2000,bus,2002,manuell,113,andere,150000,10,diesel,kia,0
950,kleinwagen,2004,manuell,69,corsa,150000,7,diesel,opel,1
2650,limousine,2003,manuell,116,bora,150000,10,benzin,volkswagen,0
3650,suv,1988,manuell,103,pajero,150000,8,lpg,mitsubishi,0
950,limousine,1994,manuell,122,c_klasse,150000,2,benzin,mercedes_benz,
11900,,2017,automatik,260,a3,100000,3,benzin,audi,0
8850,kombi,2008,manuell,140,golf,90000,6,benzin,volkswagen,0
0,kleinwagen,1998,manuell,54,corsa,150000,10,benzin,opel,0
800,limousine,1999,manuell,75,focus,150000,4,benzin,ford,1
6600,kombi,2009,manuell,109,focus,125000,11,diesel,ford,0
3100,limousine,2008,,0,caddy,150000,11,diesel,volkswagen,0
2600,kleinwagen,2003,manuell,90,meriva,150000,7,benzin,opel,0
1850,kleinwagen,2001,manuell,58,corsa,150000,6,benzin,opel,0
7100,,2017,manuell,150,sorento,150000,0,diesel,kia,
1450,kleinwagen,1998,manuell,75,clio,150000,5,benzin,renault,0
950,,1997,,0,golf,150000,0,,volkswagen,
500,kleinwagen,1998,manuell,60,1_reihe,125000,1,benzin,peugeot,0
14900,suv,2009,manuell,140,kuga,125000,9,diesel,ford,0
300,kleinwagen,1996,manuell,75,3_reihe,150000,3,benzin,peugeot,
2300,cabrio,1996,manuell,192,3er,20000,9,benzin,bmw,1
3399,bus,2005,manuell,136,andere,150000,10,diesel,renault,0
3300,limousine,1994,manuell,174,golf,150000,9,benzin,volkswagen,0
6000,kleinwagen,2010,manuell,75,corsa,60000,0,diesel,opel,0
6500,limousine,2007,manuell,140,passat,150000,2,diesel,volkswagen,0
1,,2016,automatik,140,altea,150000,0,diesel,seat,
1850,bus,2000,automatik,107,scenic,125000,4,benzin,renault,
1370,,2005,,0,corsa,150000,0,,opel,
1799,kleinwagen,2001,manuell,68,yaris,150000,2,benzin,toyota,0
4500,limousine,2004,automatik,110,corolla,150000,9,benzin,toyota,0
2950,kleinwagen,2003,manuell,70,,5000,4,benzin,volkswagen,0
1600,,2016,manuell,75,golf,125000,6,,volkswagen,0
340,cabrio,1999,manuell,54,twingo,150000,0,benzin,renault,
25000,limousine,2009,automatik,245,7er,150000,9,diesel,bmw,0
0,bus,2002,,0,,150000,12,diesel,mercedes_benz,
1700,kombi,2001,manuell,125,vectra,150000,5,diesel,opel,0
19500,coupe,2009,manuell,190,a5,125000,3,diesel,audi,0
34900,cabrio,2014,automatik,170,andere,30000,3,benzin,audi,0
1150,limousine,2001,manuell,75,golf,150000,12,benzin,volkswagen,0
2490,kleinwagen,2003,manuell,131,ibiza,150000,6,diesel,seat,0
3299,kombi,2001,manuell,231,5er,150000,2,benzin,bmw,0
2300,kombi,2001,manuell,131,passat,150000,12,diesel,volkswagen,0
700,limousine,1998,manuell,125,carisma,150000,11,benzin,mitsubishi,1
550,kleinwagen,2000,manuell,52,matiz,150000,6,benzin,daewoo,0
1600,limousine,1994,manuell,122,c_klasse,150000,10,benzin,mercedes_benz,0
4350,suv,2005,manuell,107,santa,125000,6,benzin,hyundai,0
1700,,2017,automatik,150,andere,150000,12,,saab,1
3290,bus,2005,manuell,125,focus,150000,4,benzin,ford,0
4199,kombi,2003,automatik,179,c_klasse,150000,10,diesel,mercedes_benz,0
28999,cabrio,2014,manuell,184,slk,30000,4,benzin,mercedes_benz,0
400,kleinwagen,1996,manuell,60,ka,125000,12,benzin,ford,1
13500,limousine,2013,manuell,105,leon,60000,10,diesel,seat,0
14999,kleinwagen,2015,manuell,109,rio,20000,7,benzin,kia,0
500,kombi,1994,manuell,0,golf,150000,1,benzin,volkswagen,
16690,bus,2012,manuell,105,touran,50000,7,diesel,volkswagen,0
5500,limousine,2002,manuell,129,c_klasse,125000,0,benzin,mercedes_benz,0
6250,kleinwagen,2010,manuell,70,justy,70000,12,benzin,subaru,0
15999,coupe,2012,manuell,211,scirocco,80000,6,benzin,volkswagen,0
990,kombi,1992,manuell,90,passat,150000,10,benzin,volkswagen,0
1600,kombi,1998,automatik,165,a6,150000,0,benzin,audi,
650,kleinwagen,1998,manuell,75,lupo,5000,10,benzin,volkswagen,0
1650,limousine,2001,manuell,75,astra,150000,1,diesel,opel,0
2490,bus,2000,manuell,68,transporter,150000,11,diesel,volkswagen,0
15999,cabrio,1993,automatik,220,e_klasse,150000,2,benzin,mercedes_benz,0
1600,kleinwagen,2004,automatik,60,c2,150000,2,benzin,citroen,1
100,kleinwagen,1994,manuell,60,golf,150000,6,benzin,volkswagen,1
350,limousine,1999,manuell,170,mondeo,150000,3,benzin,ford,
1350,kleinwagen,2001,manuell,75,polo,150000,4,benzin,volkswagen,0
2600,kleinwagen,2006,manuell,122,c2,150000,10,benzin,citroen,0
3500,limousine,2003,manuell,147,vectra,150000,2,benzin,opel,0
1849,kombi,2003,manuell,155,signum,150000,5,benzin,opel,0
899,bus,2005,manuell,64,fabia,150000,6,diesel,skoda,1
4300,,2016,manuell,90,,80000,0,,opel,0
3900,kombi,2005,manuell,105,astra,90000,12,benzin,opel,0
999,kombi,1997,manuell,194,,150000,0,benzin,bmw,0
100,kleinwagen,1996,manuell,553,,150000,7,,renault,1
3100,kleinwagen,2006,manuell,75,clio,80000,8,benzin,renault,0
20350,coupe,2011,manuell,184,3er,80000,3,benzin,bmw,0
2499,coupe,1998,automatik,136,clk,150000,11,benzin,mercedes_benz,0
2500,limousine,2001,automatik,170,a4,150000,0,lpg,audi,1
19500,suv,2014,manuell,140,andere,20000,8,benzin,opel,0
5900,bus,2009,automatik,150,voyager,150000,2,diesel,chrysler,0
2600,kombi,1999,automatik,105,e_klasse,150000,6,diesel,mercedes_benz,0
15600,limousine,2011,manuell,136,a4,100000,6,diesel,audi,0
2100,limousine,1999,manuell,105,3er,150000,4,benzin,bmw,0
18990,limousine,2014,manuell,179,leon,40000,6,benzin,seat,0
999,limousine,1999,manuell,150,a6,150000,3,diesel,audi,0
3000,limousine,2000,automatik,170,e_klasse,150000,7,diesel,mercedes_benz,0
4990,limousine,2002,manuell,193,superb,150000,10,benzin,skoda,0
500,kleinwagen,2000,automatik,65,corsa,70000,6,benzin,opel,1
1450,kleinwagen,2002,manuell,60,2_reihe,150000,8,benzin,peugeot,0
899,kleinwagen,1999,manuell,75,clio,150000,10,,renault,
14600,limousine,2008,manuell,120,a4,20000,4,benzin,audi,0
20990,kombi,2013,manuell,142,3er,60000,1,diesel,bmw,0
1800,coupe,1995,manuell,160,civic,125000,5,benzin,honda,1
5300,kombi,2003,manuell,116,avensis,150000,3,diesel,toyota,0
1700,cabrio,1999,manuell,95,megane,90000,5,benzin,renault,0
2095,kleinwagen,2004,manuell,74,clio,150000,4,benzin,renault,0
1300,kleinwagen,1997,automatik,53,swift,125000,7,benzin,suzuki,0
11500,bus,2007,automatik,140,touran,150000,5,diesel,volkswagen,0
6890,bus,1960,,0,,150000,5,benzin,sonstige_autos,
2000,,2018,manuell,108,scenic,150000,8,benzin,renault,0
5490,cabrio,1999,automatik,136,slk,125000,2,benzin,mercedes_benz,0
400,kleinwagen,1996,manuell,40,andere,40000,6,benzin,fiat,0
9990,limousine,2007,manuell,124,3er,100000,8,,bmw,0
400,,2000,automatik,211,omega,150000,7,benzin,opel,
1150,kleinwagen,2000,manuell,75,2_reihe,150000,2,benzin,peugeot,0
400,kombi,1999,manuell,115,v40,150000,2,,volvo,
1000,,2016,manuell,60,polo,150000,12,benzin,volkswagen,
4200,limousine,2003,manuell,116,3er,150000,1,benzin,bmw,0
1250,kombi,2001,manuell,125,mondeo,150000,10,benzin,ford,0
4590,limousine,2003,manuell,150,a3,150000,8,benzin,audi,0
34800,cabrio,2002,automatik,306,sl,100000,7,benzin,mercedes_benz,0
8499,kleinwagen,2009,manuell,116,astra,70000,0,benzin,opel,0
4150,kombi,2005,manuell,140,a3,150000,2,diesel,audi,0
2500,kleinwagen,2004,manuell,75,corsa,150000,5,diesel,opel,0
9500,bus,2010,manuell,140,zafira,90000,5,benzin,opel,0
900,kleinwagen,1991,manuell,55,golf,100000,1,benzin,volkswagen,
18100,bus,2014,manuell,105,touran,40000,9,benzin,volkswagen,0
6700,bus,2006,automatik,150,zafira,150000,3,diesel,opel,0
9999,limousine,2006,automatik,231,5er,150000,5,diesel,bmw,0
100,,2016,manuell,56,twingo,150000,6,,renault,0
9490,kombi,2009,manuell,0,a4,150000,1,diesel,audi,0
8600,limousine,2009,manuell,177,1er,150000,12,diesel,bmw,0
6300,limousine,2005,automatik,150,golf,150000,4,benzin,volkswagen,0
